rus_name,latitude,longitude
Мончегорск,67.9385206,32.9358886
Мурманск,69.0076958,33.0686019
Оленегорск,68.1422068,33.2670094
Островной,68.0509133,39.5076034
Полярные Зори,67.3730192,32.497541
Полярный,69.1988373,33.4509985
Североморск,69.0765029,33.4178354
Снежногорск,69.1921469,33.2382821
Нарьян-Мар,67.6381525,53.0069336
Арзамас,55.3947544,43.8407855
Балахна,56.4949932,43.5758953
Богородск,56.1019905,43.513678
Бор,56.3565179,44.0644851
Ветлуга,57.8558395,45.7762692
Володарск,56.2168974,43.1597623
Ворсма,55.9900425,43.2719879
Выкса,55.3207103,42.1679169
Горбатов,56.1307901,43.0626829
Городец,56.6447459,43.4722975
Дзержинск,56.2376438,43.4599363
Заволжье,56.6404237,43.3871565
Княгинино,55.8205157,45.0322947
Кстово,56.1433353,44.1665081
Кулебаки,55.429716,42.512483
Лукоянов,55.0327349,44.4933829
Лысково,56.0262298,45.0356702
Навашино,55.5439105,42.1887734
Нижний Новгород,56.3242093,44.0053948
Павлово,55.9797995,43.0996232
Первомайск,54.8676182,43.8012829
Перевоз,55.596904,44.5450268
Саров,54.9227002,43.3447792
Семенов,56.788935,44.4903571
Сергач,55.5200364,45.4813193
Урень,57.4612547,45.783394
Чкаловск,56.7651549,43.2420193
Шахунья,57.6764773,46.6129673
Боровичи,58.3839866,33.9176761
Валдай,57.9822906,33.2369492
Великий Новгород,58.5214003,31.2755051
Малая Вишера,58.8458076,32.2247984
Окуловка,58.3908717,33.2902474
Пестово,58.5973944,35.8144523
Сольцы,58.1201693,30.309285
Старая Русса,57.9906873,31.3555076
Холм,57.1451036,31.1787812
Чудово,59.1247477,31.6865406
Барабинск,55.3515917,78.3465012
Бердск,54.7582375,83.1072212
Болотное,55.6693773,84.3906599
Искитим,54.6266869,83.2951444
Карасук,53.7343772,78.042457
Каргат,55.1943829,80.2831324
Куйбышев,55.4684104,78.3241042
Купино,54.3660317,77.2972969
Новосибирск,55.0281016,82.9210575
Обь,54.9945882,82.6937925
Татарск,55.2145894,75.9740805
Тогучин,55.2250038,84.4103867
Черепаново,54.2206974,83.3724392
Чулым,55.0906205,80.9592152
Исилькуль,54.9096156,71.2816107
Калачинск,55.0598547,74.5655075
Называевск,55.5688811,71.3502572
Омск,54.9848136,73.3674638
Тара,56.9159171,74.3649643
Тюкалинск,55.8705121,72.1956156
Абдулино,53.6778096,53.6473115
Бугуруслан,53.6522636,52.4326166
Бузулук,52.7881434,52.2623757
Гай,51.4649138,58.4436189
Кувандык,51.4784845,57.3612029
Медногорск,51.4039421,57.5832185
Новотроицк,51.1965071,58.3017455
Оренбург,51.7875191,55.1017379
Орск,51.2293069,58.4751889
Соль-Илецк,51.1634976,54.9895391
Сорочинск,52.4265081,53.1542123
Ясный,51.0369499,59.8743256
Болхов,53.4440204,36.0076969
Дмитровск,52.5053481,35.141535
Ливны,52.4285122,37.603944
Малоархангельск,52.4001151,36.5037931
Мценск,53.2790021,36.574992
Новосиль,52.9747225,37.0438402
Орёл,52.9672573,36.0696479
Белинский,52.9641169,43.4185003
Городище,53.2727888,45.702731
Заречный,53.1961009,45.1691502
Каменка,53.1855474,44.0468501
Кузнецк,53.1131686,46.6052497
Нижний Ломов,53.5301274,43.6729216
Никольск,53.7138397,46.079962
Пенза,53.1753884,45.0347408
Сердобск,52.4697532,44.2122688
Спасск,53.927163,43.1860475
Сурск,53.0760597,45.6911897
Александровск,59.1613773,57.5764851
Березники,59.4079898,56.8040725
Верещагино,58.0797908,54.6580948
Горнозаводск,58.3743406,58.3230329
Гремячинск,58.5625603,57.8520073
Губаха,58.837024,57.5544441
Добрянка,58.4696353,56.4131294
Кизел,59.0511764,57.6471214
Красновишерск,60.3902242,57.0537244
Краснокамск,58.0820946,55.7479797
Кудымкар,59.0168605,54.6573459
Кунгур,57.4283217,56.9437787
Лысьва,58.0995987,57.8085728
Нытва,57.9337429,55.3357261
Оса,57.2889992,55.4688982
Оханск,57.7178946,55.387153
Очер,57.8851991,54.7161756
Пермь,58.0103211,56.2341778
Соликамск,59.6483518,56.7710358
Усолье,59.4279356,56.6837783
Чайковский,56.7780203,54.1478482
Чердынь,60.4011184,56.4801391
Чермоз,58.7842527,56.1507562
Чернушка,56.5161079,56.0763919
Чусовой,58.2974725,57.8193122
Арсеньев,44.16208,133.269622
Артем,43.350053,132.1596594
Большой Камень,43.1112737,132.3480354
Владивосток,43.1163807,131.882348
Дальнегорск,44.5539909,135.5662536
Дальнереченск,45.9307882,133.7316542
Лесозаводск,45.4780192,133.4185501
Находка,42.8240404,132.8927812
Партизанск,43.1279833,133.1264754
Спасск-Дальний,44.5900929,132.8157564
Уссурийск,43.79726,131.9517262
Фокино,42.9707163,132.4110209
Великие Луки,56.3321847,30.550757
Гдов,58.7432585,27.8263328
Дно,57.8269802,29.9629569
Невель,56.0201544,29.9240505
Новоржев,57.0298332,29.343333
Новосокольники,56.3407627,30.1527712
Опочка,56.7107956,28.6717455
Остров,57.3452408,28.3437107
Печоры,57.8146689,27.6222823
Порхов,57.7764223,29.5436424
Псков,57.819284,28.3318188
Пустошка,56.3375131,29.3668243
Пыталово,57.0637109,27.9234759
Себеж,56.2907663,28.4725735
Азов,47.1120631,39.4232597
Аксай,47.2676075,39.8755485
Батайск,47.138321,39.7508382
Белая Калитва,48.176948,40.8033169
Волгодонск,47.5165181,42.1984531
Гуково,48.0449422,39.9484635
Донецк,48.3350928,39.9460654
Зверево,48.043451,40.1264948
Зерноград,46.8494991,40.312765
Каменск-Шахтинский,48.3204412,40.268874
Константиновск,47.5773456,41.0967362
Красный Сулин,47.8830826,40.0781385
Миллерово,48.925821,40.3983302
Морозовск,48.3511724,41.8308006
Новочеркасск,47.4119248,40.1042066
Новошахтинск,47.7576522,39.9364709
Пролетарск,46.7038968,41.7274533
Ростов-на-Дону,47.2224364,39.7187866
Сальск,46.4751689,41.5412229
Семикаракорск,47.5177981,40.811585
Таганрог,47.2094907,38.935154
Цимлянск,47.6477668,42.093022
Шахты,47.7084247,40.2159154
Касимов,54.9373788,41.3912912
Кораблино,53.9245422,40.0227867
Михайлов,54.2296493,39.0090857
Новомичуринск,54.0377979,39.7467023
Рыбное,54.7255937,39.513438
Ряжск,53.7067718,40.0521358
Рязань,54.625457,39.7359992
Сасово,54.350807,41.9117458
Скопин,53.8236028,39.5493286
Спас-Клепики,55.1291472,40.1745036
Спасск-Рязанский,54.4071497,40.3764367
Шацк,54.0288845,41.7182108
Жигулевск,53.4011545,49.494529
Кинель,53.2209985,50.6343039
Нефтегорск,52.797259,51.1637126
Новокуйбышевск,53.0995303,49.9477662
Октябрьск,53.1640886,48.6707463
Отрадный,53.3800609,51.3438695
Похвистнево,53.6498197,52.1235517
Самара,53.1951657,50.1067691
Сызрань,53.1557213,48.4745419
Тольятти,53.5206438,49.389461
Чапаевск,52.9289662,49.8674222
